球员,总分,传球,传中,盯人,罚点球,技术,角球,界外球,盘带,抢断,任意球,射门,停球,头球,远射,才华,防守站位,工作投入,集中,决断,领导力,侵略性,视野,团队合作,无球跑动,意志力,勇敢,预判,镇定,爆发力,弹跳,灵活,耐力,平衡,强壮,速度,体质,稳定,大赛,抗压
汤姆·希顿 - 选​择球​员,265.745,12,2,2,3,8,2,2,2,3,5,2,8,8,3,1,14,6,17,14,18,7,11,18,2,13,14,12,10,5,14,11,8,10,12,5,13,14,16,11
利桑德罗·马丁内斯 - 选​择球​员,407.9825000000001,15,9,16,10,15,6,12,9,16,8,7,15,13,6,10,16,15,14,13,14,18,14,14,8,17,17,16,16,12,12,14,15,14,15,12,15,13,11,14
瑟内·拉门斯 - 选​择球​员,365.16249999999997,13,2,7,1,12,6,2,2,13,9,1,14,12,3,1,13,13,14,13,12,5,11,12,12,18,13,13,14,12,14,16,12,10,11,11,12,14,13,14
卡塞米罗 - 选​择球​员,387.2908333333333,14,11,14,14,14,9,10,10,17,10,11,15,17,14,12,14,14,14,12,17,18,14,17,13,17,17,17,11,9,15,10,12,15,17,10,12,13,15,15
马特乌斯·库尼亚 - 选​择球​员,435.7891666666666,14,13,4,13,16,13,5,18,6,13,15,12,11,15,17,5,15,7,11,10,16,12,10,13,16,15,11,14,15,12,15,13,15,12,15,12,10,14,12
帕特里克·多尔古 - 选​择球​员,423.19,11,12,8,10,13,7,7,13,12,9,11,13,10,7,11,11,15,13,9,7,14,10,13,15,15,10,13,10,16,12,12,15,11,14,16,13,12,12,6
哈里·马奎尔 - 选​择球​员,397.1116666666667,13,7,15,14,13,5,10,10,15,8,8,14,17,7,9,16,12,14,12,15,14,12,14,7,11,17,14,13,10,17,13,17,13,17,12,17,12,13,11
梅森·蒙特 - 选​择球​员,419.9616666666666,14,12,7,15,14,15,4,11,10,14,13,15,6,12,13,14,19,14,14,10,15,12,18,16,17,15,13,13,14,8,15,18,11,10,15,13,12,14,14
德莫特·米 - 选​择球​员,291.92583333333334,6,1,3,3,8,3,3,2,1,6,2,8,2,1,1,11,7,10,9,7,11,4,9,3,3,10,11,8,11,13,12,7,10,8,7,7,19,15,13
卢克·肖 - 选​择球​员,425.0658333333332,15,14,14,10,14,15,10,14,13,14,8,15,13,6,10,15,13,13,14,12,13,13,15,14,10,13,15,15,14,14,15,14,15,16,14,10,14,13,13
诺赛尔·马兹拉乌 - 选​择球​员,409.95416666666665,14,12,11,10,16,8,12,14,14,7,9,15,11,12,15,12,16,12,14,12,13,14,16,14,12,14,13,14,14,11,14,15,12,10,14,13,13,12,12
马泰斯·德·莱特 - 选​择球​员,428.7808333333333,13,5,16,8,12,4,8,9,16,8,8,12,16,10,5,16,15,14,13,14,16,10,15,7,16,18,14,11,12,16,15,13,16,18,14,11,14,14,14
蒂雷尔·马拉西亚 - 选​择球​员,412.7616666666667,12,13,14,7,13,7,12,12,13,9,7,13,9,8,10,12,16,11,14,9,15,9,15,13,16,15,12,13,15,8,16,15,13,7,15,16,13,13,15
约书亚·奇科琦 - 选​择球​员,412.76500000000004,16,9,5,13,18,4,3,17,6,11,13,15,12,12,19,6,12,13,14,9,8,16,18,14,13,9,15,13,12,13,13,14,13,14,12,15,12,14,11
布鲁诺·费尔南德斯 - 选​择球​员,432.0783333333333,18,16,3,19,18,16,3,11,8,16,15,17,9,15,17,7,18,13,13,17,18,18,15,16,18,15,17,14,13,9,15,20,13,10,13,20,14,12,14
阿马德·达里奥·特拉奥雷 - 选​择球​员,431.5566666666667,15,11,6,8,16,15,2,15,6,12,13,16,3,14,16,9,16,11,13,5,14,13,13,14,17,12,12,14,16,6,15,14,14,9,15,15,12,14,14
布里安·姆贝乌莫 - 选​择球​员,441.0541666666666,13,13,6,17,15,12,6,15,6,12,14,17,8,13,15,7,17,13,14,8,12,13,14,14,17,13,13,15,15,8,16,15,13,13,15,17,15,15,13
